trans.'/' m.0 n.0 kl.0 ku.0 lda.1 incx.1 incy.1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-2 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-2 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-2 incy.1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-2 incy.2 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-1 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-1 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-1 incy.1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.-1 incy.2 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.1 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.1 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.1 incy.1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.1 incy.2 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.2 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.2 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.2 incy.1 
trans.'C' m.1 n.3 kl.0 ku.0 lda.2 incx.2 incy.2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-2 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-2 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-2 incy.1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-2 incy.2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-1 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-1 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-1 incy.1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.-1 incy.2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.1 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.1 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.1 incy.1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.1 incy.2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.2 incy.-2 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.2 incy.-1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.2 incy.1 
trans.'C' m.1 n.3 kl.0 ku.1 lda.3 incx.2 incy.2 
trans.'C' m.1 n.3 kl.1 ku.2 lda.5 incx.-2 incy.-2 
trans.'C' m.1 n.3 kl.1 ku.2 lda.5 incx.-2 incy.-1 
trans.'C' m.1 n.3 kl.1 ku.2 lda.5 incx.-2 incy.1 
trans.'C' m.1 n.3 kl.1 ku.2 lda.5 incx.-2 incy.2 
trans.'C' m.1 n.3 kl.1 ku.2 lda.5 incx.-1 incy.-2 
